f/Hz,U/V
1209.60249,33.6
1210.83552,31.6
1212.06855,28.8
1213.30158,27.2
1214.53461,25.6
1215.76764,24
1217.00067,20.8
1218.2337,17.6
1219.46673,12
1220.69976,13.6
1221.93279,21.6
1223.16582,26
1224.39885,28
1225.63188,26.8
1226.86491,24.8
1228.09794,22.4
1229.33097,19.6
1230.564,16.8
1231.79703,16.4
1233.03006,13.6
1234.26309,12
1235.49612,9.6
1236.72915,2.4
1237.96218,0
1239.19521,0
1240.42824,5.6
1241.66127,9.6
1242.8943,10.8
1244.12733,10.8
1245.36036,8.4
1246.59339,2.4
1247.82642,2.4
1249.05945,5.6
1250.29248,0
1251.52551,2.4
1252.75854,6.4
1253.99157,6.4
1255.2246,6.4
1256.45763,2.4
1257.69066,6.4
1258.92369,5.6
1260.15672,5.6
1261.38975,0
